,country,week,variant,total_sequences,cluster_sequences,variant_prop
23274,Malaysia,2021-06-07,Delta,71,51,0.7183098591549296
23359,Malaysia,2021-12-20,Omicron_BA1_2,1132,752,0.6643109540636042
23445,Malaysia,2022-07-04,Omicron_BA5,1475,1035,0.7016949152542373
28918,Philippines,2021-03-15,Beta,791,406,0.5132743362831859
28973,Philippines,2021-07-19,Delta,1141,778,0.6818580192813322
29034,Philippines,2021-12-06,Omicron_BA1_2,26,25,0.9615384615384616
29114,Philippines,2022-06-06,Omicron_BA5,174,94,0.5402298850574713
40678,Vietnam,2021-01-18,Alpha,24,20,0.8333333333333334
40709,Vietnam,2021-04-26,Delta,83,59,0.7108433734939759
40800,Vietnam,2022-01-17,Omicron_BA1_2,112,81,0.7232142857142857
40867,Vietnam,2022-07-18,Omicron_BA5,264,197,0.7462121212121212
